english,target,article
I,ich,
you (singular informal),du,
he,er,
she,sie,
it,es,
we,wir,
you (plural informal),ihr,
they,sie,
you (formal),Sie,
me (accusative),mich,
"you (accusative, sg.)",dich,
him (accusative),ihn,
her (accusative),sie,
us (accusative),uns,
"you (accusative, pl.)",euch,
them (accusative),sie,
to me (dative),mir,
"to you (dative, sg.)",dir,
to him (dative),ihm,
to her (dative),ihr,
to us (dative),uns,
"to you (dative, pl.)",euch,
to them (dative),ihnen,
myself,mich selbst,
yourself,dich selbst,
himself / herself / itself,sich selbst,
ourselves,uns selbst,
yourselves,euch selbst,
themselves,sich selbst,
someone,jemand,
nobody,niemand,
something,etwas,
nothing,nichts,
everyone,jeder / alle,
everything,alles,
both,beide,
each other,einander,
zero,null,
one,eins,
two,zwei,
three,drei,
four,vier,
five,fünf,
six,sechs,
seven,sieben,
eight,acht,
nine,neun,
ten,zehn,
eleven,elf,
twelve,zwölf,
thirteen,dreizehn,
fourteen,vierzehn,
fifteen,fünfzehn,
twenty,zwanzig,
thirty,dreißig,
forty,vierzig,
fifty,fünfzig,
sixty,sechzig,
seventy,siebzig,
eighty,achtzig,
ninety,neunzig,
hundred,hundert,
thousand,tausend,
million,eine Million,
first,erst-,
second,zweit-,
third,dritt-,
fourth,viert-,
fifth,fünft-,
once,einmal,
twice,zweimal,
half,halb,
a quarter,ein Viertel,
a third,ein Drittel,
man,Mann,der
woman,Frau,die
child,Kind,das
boy,Junge,der
girl,Mädchen,das
baby,Baby,das
person,Person,die
adult,Erwachsene,der/die
teenager,Teenager,der
father,Vater,der
mother,Mutter,die
son,Sohn,der
daughter,Tochter,die
brother,Bruder,der
sister,Schwester,die
husband,Ehemann,der
wife,Ehefrau,die
grandfather,Großvater,der
grandmother,Großmutter,die
grandson,Enkel,der
granddaughter,Enkelin,die
uncle,Onkel,der
aunt,Tante,die
cousin (m),Cousin,der
cousin (f),Cousine,die
nephew,Neffe,der
niece,Nichte,die
friend (m),Freund,der
friend (f),Freundin,die
neighbor (m),Nachbar,der
neighbor (f),Nachbarin,die
colleague (m),Kollege,der
colleague (f),Kollegin,die
partner,Partner,der
guest,Gast,der
stranger,Fremde,der/die
parents,Eltern,die
twins,Zwillinge,die
stepfather,Stiefvater,der
stepmother,Stiefmutter,die
doctor (m),Arzt,der
doctor (f),Ärztin,die
nurse (m),Krankenpfleger,der
nurse (f),Krankenschwester,die
teacher (m),Lehrer,der
teacher (f),Lehrerin,die
student (m),Student,der
student (f),Studentin,die
pupil,Schüler,der
professor,Professor,der
lawyer (m),Anwalt,der
lawyer (f),Anwältin,die
judge,Richter,der
engineer,Ingenieur,der
architect,Architekt,der
scientist,Wissenschaftler,der
programmer,Programmierer,der
designer,Designer,der
artist,Künstler,der
writer,Schriftsteller,der
journalist,Journalist,der
photographer,Fotograf,der
musician,Musiker,der
singer,Sänger,der
actor,Schauspieler,der
director,Regisseur,der
painter,Maler,der
chef,Küchenchef,der
cook,Koch,der
waiter (m),Kellner,der
waiter (f),Kellnerin,die
baker,Bäcker,der
butcher,Metzger,der
farmer,Bauer,der
driver,Fahrer,der
pilot,Pilot,der
soldier,Soldat,der
police officer,Polizist,der
firefighter,Feuerwehrmann,der
electrician,Elektriker,der
mechanic,Mechaniker,der
accountant,Buchhalter,der
manager,Manager,der
boss,Chef,der
employee,Angestellte,der/die
dentist,Zahnarzt,der
pharmacist,Apotheker,der
psychologist,Psychologe,der
politician,Politiker,der
priest,Priester,der
veterinarian,Tierarzt,der
head,Kopf,der
face,Gesicht,das
eye,Auge,das
ear,Ohr,das
nose,Nase,die
mouth,Mund,der
tooth,Zahn,der
tongue,Zunge,die
lip,Lippe,die
chin,Kinn,das
cheek,Wange,die
forehead,Stirn,die
hair,Haar,das
neck,Hals,der
shoulder,Schulter,die
arm,Arm,der
elbow,Ellbogen,der
wrist,Handgelenk,das
hand,Hand,die
finger,Finger,der
thumb,Daumen,der
nail,Nagel,der
chest,Brust,die
back,Rücken,der
stomach,Bauch,der
hip,Hüfte,die
leg,Bein,das
knee,Knie,das
ankle,Knöchel,der
foot,Fuß,der
toe,Zeh,der
heart,Herz,das
lung,Lunge,die
liver,Leber,die
kidney,Niere,die
brain,Gehirn,das
bone,Knochen,der
muscle,Muskel,der
skin,Haut,die
blood,Blut,das
bread,Brot,das
roll,Brötchen,das
butter,Butter,die
milk,Milch,die
egg,Ei,das
cheese,Käse,der
meat,Fleisch,das
chicken,Hähnchen,das
beef,Rindfleisch,das
pork,Schweinefleisch,das
fish,Fisch,der
sausage,Wurst,die
ham,Schinken,der
soup,Suppe,die
salad,Salat,der
pasta,Nudeln,die
rice,Reis,der
potato,Kartoffel,die
tomato,Tomate,die
cucumber,Gurke,die
carrot,Karotte,die
onion,Zwiebel,die
garlic,Knoblauch,der
pepper (spice),Pfeffer,der
salt,Salz,das
sugar,Zucker,der
oil,Öl,das
vinegar,Essig,der
mustard,Senf,der
apple,Apfel,der
pear,Birne,die
banana,Banane,die
orange,Orange,die
strawberry,Erdbeere,die
cherry,Kirsche,die
grape,Traube,die
lemon,Zitrone,die
peach,Pfirsich,der
plum,Pflaume,die
watermelon,Wassermelone,die
water,Wasser,das
juice,Saft,der
coffee,Kaffee,der
tea,Tee,der
beer,Bier,das
wine,Wein,der
lemonade,Limonade,die
cake,Kuchen,der
cookie,Keks,der
chocolate,Schokolade,die
ice cream,Eis,das
jam,Marmelade,die
honey,Honig,der
flour,Mehl,das
breakfast,Frühstück,das
lunch,Mittagessen,das
dinner,Abendessen,das
snack,Snack,der
dessert,Dessert,das
recipe,Rezept,das
meal,Mahlzeit,die
menu,Speisekarte,die
dish,Gericht,das
ingredient,Zutat,die
mushroom,Pilz,der
lettuce,Salat,der
spinach,Spinat,der
broccoli,Brokkoli,der
corn,Mais,der
pea,Erbse,die
bean,Bohne,die
house,Haus,das
apartment,Wohnung,die
building,Gebäude,das
room,Zimmer,das
kitchen,Küche,die
bathroom,Badezimmer,das
bedroom,Schlafzimmer,das
living room,Wohnzimmer,das
dining room,Esszimmer,das
hallway,Flur,der
cellar,Keller,der
attic,Dachboden,der
garage,Garage,die
garden,Garten,der
balcony,Balkon,der
terrace,Terrasse,die
stairs,Treppe,die
elevator,Aufzug,der
door,Tür,die
window,Fenster,das
wall,Wand,die
floor,Boden,der
ceiling,Decke,die
roof,Dach,das
bed,Bett,das
sofa,Sofa,das
armchair,Sessel,der
table,Tisch,der
chair,Stuhl,der
desk,Schreibtisch,der
shelf,Regal,das
wardrobe,Kleiderschrank,der
drawer,Schublade,die
mirror,Spiegel,der
lamp,Lampe,die
carpet,Teppich,der
curtain,Vorhang,der
pillow,Kissen,das
blanket,Decke,die
towel,Handtuch,das
key,Schlüssel,der
lock,Schloss,das
bell,Klingel,die
washing machine,Waschmaschine,die
dishwasher,Spülmaschine,die
refrigerator,Kühlschrank,der
microwave,Mikrowelle,die
vacuum cleaner,Staubsauger,der
coffee machine,Kaffeemaschine,die
tap / faucet,Wasserhahn,der
light switch,Lichtschalter,der
power outlet,Steckdose,die
trash can,Mülleimer,der
street,Straße,die
road,Straße,die
path,Weg,der
bridge,Brücke,die
square,Platz,der
park,Park,der
city,Stadt,die
village,Dorf,das
district,Viertel,das
neighborhood,Nachbarschaft,die
city center,Stadtzentrum,das
suburb,Vorort,der
country,Land,das
region,Region,die
border,Grenze,die
airport,Flughafen,der
train station,Bahnhof,der
bus stop,Bushaltestelle,die
subway,U-Bahn,die
tram,Straßenbahn,die
taxi,Taxi,das
car,Auto,das
bus,Bus,der
train,Zug,der
plane,Flugzeug,das
ship,Schiff,das
bicycle,Fahrrad,das
motorcycle,Motorrad,das
traffic,Verkehr,der
traffic light,Ampel,die
parking lot,Parkplatz,der
highway,Autobahn,die
ticket,Fahrkarte,die
map,Karte,die
traffic jam,Stau,der
driving license,Führerschein,der
fuel station,Tankstelle,die
pedestrian crossing,Fußgängerüberweg,der
roundabout,Kreisverkehr,der
bicycle lane,Fahrradweg,der
one-way street,Einbahnstraße,die
shop,Laden,der
store,Geschäft,das
supermarket,Supermarkt,der
bakery,Bäckerei,die
butcher shop,Metzgerei,die
pharmacy,Apotheke,die
hospital,Krankenhaus,das
clinic,Klinik,die
school,Schule,die
university,Universität,die
library,Bibliothek,die
museum,Museum,das
theater,Theater,das
cinema,Kino,das
church,Kirche,die
mosque,Moschee,die
bank,Bank,die
post office,Postamt,das
hotel,Hotel,das
restaurant,Restaurant,das
café,Café,das
bar,Bar,die
office,Büro,das
factory,Fabrik,die
farm,Bauernhof,der
market,Markt,der
bookstore,Buchhandlung,die
gym,Fitnessstudio,das
swimming pool,Schwimmbad,das
stadium,Stadion,das
police station,Polizeiwache,die
fire station,Feuerwache,die
courthouse,Gericht,das
embassy,Botschaft,die
town hall,Rathaus,das
nature,Natur,die
forest,Wald,der
tree,Baum,der
flower,Blume,die
grass,Gras,das
leaf,Blatt,das
root,Wurzel,die
branch,Ast,der
bush,Busch,der
mountain,Berg,der
hill,Hügel,der
valley,Tal,das
river,Fluss,der
lake,See,der
sea,Meer,das
ocean,Ozean,der
beach,Strand,der
island,Insel,die
desert,Wüste,die
jungle,Dschungel,der
field,Feld,das
meadow,Wiese,die
cave,Höhle,die
waterfall,Wasserfall,der
volcano,Vulkan,der
glacier,Gletscher,der
sky,Himmel,der
sun,Sonne,die
moon,Mond,der
star,Stern,der
cloud,Wolke,die
rain,Regen,der
snow,Schnee,der
wind,Wind,der
storm,Sturm,der
thunder,Donner,der
lightning,Blitz,der
rainbow,Regenbogen,der
fog,Nebel,der
ice,Eis,das
frost,Frost,der
earth / soil,Erde,die
stone,Stein,der
sand,Sand,der
fire,Feuer,das
smoke,Rauch,der
air,Luft,die
wave,Welle,die
coast,Küste,die
cliff,Klippe,die
dog,Hund,der
cat,Katze,die
horse,Pferd,das
cow,Kuh,die
pig,Schwein,das
sheep,Schaf,das
goat,Ziege,die
chicken,Huhn,das
duck,Ente,die
rabbit,Kaninchen,das
mouse,Maus,die
rat,Ratte,die
bird,Vogel,der
eagle,Adler,der
owl,Eule,die
parrot,Papagei,der
pigeon,Taube,die
crow,Krähe,die
fish,Fisch,der
shark,Hai,der
whale,Wal,der
dolphin,Delfin,der
frog,Frosch,der
snake,Schlange,die
turtle,Schildkröte,die
crocodile,Krokodil,das
lizard,Eidechse,die
lion,Löwe,der
tiger,Tiger,der
bear,Bär,der
wolf,Wolf,der
fox,Fuchs,der
deer,Reh,das
elephant,Elefant,der
giraffe,Giraffe,die
zebra,Zebra,das
monkey,Affe,der
gorilla,Gorilla,der
camel,Kamel,das
kangaroo,Känguru,das
penguin,Pinguin,der
butterfly,Schmetterling,der
bee,Biene,die
ant,Ameise,die
spider,Spinne,die
fly,Fliege,die
mosquito,Mücke,die
time,Zeit,die
hour,Stunde,die
minute,Minute,die
second,Sekunde,die
day,Tag,der
week,Woche,die
month,Monat,der
year,Jahr,das
decade,Jahrzehnt,das
century,Jahrhundert,das
morning,Morgen,der
afternoon,Nachmittag,der
evening,Abend,der
night,Nacht,die
noon,Mittag,der
midnight,Mitternacht,die
dawn,Morgendämmerung,die
Monday,Montag,der
Tuesday,Dienstag,der
Wednesday,Mittwoch,der
Thursday,Donnerstag,der
Friday,Freitag,der
Saturday,Samstag,der
Sunday,Sonntag,der
January,Januar,der
February,Februar,der
March,März,der
April,April,der
May,Mai,der
June,Juni,der
July,Juli,der
August,August,der
September,September,der
October,Oktober,der
November,November,der
December,Dezember,der
spring,Frühling,der
summer,Sommer,der
autumn,Herbst,der
winter,Winter,der
holiday,Urlaub,der
vacation,Ferien,die
birthday,Geburtstag,der
anniversary,Jahrestag,der
wedding,Hochzeit,die
past,Vergangenheit,die
present,Gegenwart,die
future,Zukunft,die
weekend,Wochenende,das
deadline,Frist,die
class,Klasse,die
lesson,Stunde,die
subject,Fach,das
homework,Hausaufgabe,die
exam,Prüfung,die
grade,Note,die
diploma,Diplom,das
degree,Abschluss,der
knowledge,Wissen,das
skill,Fähigkeit,die
language,Sprache,die
word,Wort,das
sentence,Satz,der
grammar,Grammatik,die
vocabulary,Wortschatz,der
pronunciation,Aussprache,die
translation,Übersetzung,die
dictionary,Wörterbuch,das
book,Buch,das
notebook,Notizbuch,das
pen,Stift,der
pencil,Bleistift,der
paper,Papier,das
page,Seite,die
chapter,Kapitel,das
paragraph,Absatz,der
text,Text,der
question,Frage,die
answer,Antwort,die
exercise,Übung,die
math,Mathematik,die
physics,Physik,die
chemistry,Chemie,die
biology,Biologie,die
history,Geschichte,die
geography,Geografie,die
art,Kunst,die
music,Musik,die
sport,Sport,der
lecture,Vorlesung,die
seminar,Seminar,das
thesis,Abschlussarbeit,die
scholarship,Stipendium,das
campus,Campus,der
classroom,Klassenzimmer,das
blackboard,Tafel,die
work,Arbeit,die
job,Job,der
career,Karriere,die
salary,Gehalt,das
wage,Lohn,der
income,Einkommen,das
money,Geld,das
price,Preis,der
cost,Kosten,die
budget,Budget,das
profit,Gewinn,der
loss,Verlust,der
tax,Steuer,die
bill,Rechnung,die
receipt,Quittung,die
contract,Vertrag,der
meeting,Meeting,das
project,Projekt,das
report,Bericht,der
email,E-Mail,die
company,Firma,die
team,Team,das
interview,Vorstellungsgespräch,das
application,Bewerbung,die
resume,Lebenslauf,der
investment,Investition,die
loan,Darlehen,das
debt,Schulden,die
savings,Ersparnisse,die
insurance,Versicherung,die
pension,Rente,die
trade union,Gewerkschaft,die
stock market,Börse,die
crisis,Krise,die
economy,Wirtschaft,die
industry,Industrie,die
product,Produkt,das
brand,Marke,die
quality,Qualität,die
offer,Angebot,das
sale,Verkauf,der
discount,Rabatt,der
computer,Computer,der
laptop,Laptop,der
phone,Telefon,das
smartphone,Smartphone,das
tablet,Tablet,das
screen,Bildschirm,der
keyboard,Tastatur,die
mouse,Maus,die
cable,Kabel,das
internet,Internet,das
website,Webseite,die
app,App,die
software,Software,die
program,Programm,das
file,Datei,die
folder,Ordner,der
password,Passwort,das
account,Konto,das
message,Nachricht,die
photo,Foto,das
video,Video,das
camera,Kamera,die
television,Fernseher,der
radio,Radio,das
battery,Batterie,die
charger,Ladegerät,das
printer,Drucker,der
network,Netzwerk,das
data,Daten,die
cloud,Cloud,die
username,Benutzername,der
notification,Benachrichtigung,die
algorithm,Algorithmus,der
database,Datenbank,die
operating system,Betriebssystem,das
programming language,Programmiersprache,die
bug,Fehler,der
update,Aktualisierung,die
download,Download,der
upload,Upload,der
health,Gesundheit,die
illness,Krankheit,die
pain,Schmerz,der
fever,Fieber,das
cold,Erkältung,die
flu,Grippe,die
allergy,Allergie,die
medicine,Medikament,das
pill,Tablette,die
injection,Spritze,die
bandage,Verband,der
operation,Operation,die
appointment,Termin,der
diet,Diät,die
sleep,Schlaf,der
stress,Stress,der
weight,Gewicht,das
headache,Kopfschmerzen,die
stomachache,Bauchschmerzen,die
prescription,Rezept,das
symptom,Symptom,das
diagnosis,Diagnose,die
treatment,Behandlung,die
vaccine,Impfstoff,der
virus,Virus,das
bacteria,Bakterien,die
blood pressure,Blutdruck,der
heart rate,Herzfrequenz,die
first aid,Erste Hilfe,die
emergency,Notfall,der
waiting room,Wartezimmer,das
doctor's office,Arztpraxis,die
clothes,Kleidung,die
shirt,Hemd,das
t-shirt,T-Shirt,das
pants,Hose,die
jeans,Jeans,die
dress,Kleid,das
skirt,Rock,der
jacket,Jacke,die
coat,Mantel,der
sweater,Pullover,der
suit,Anzug,der
tie,Krawatte,die
shoes,Schuhe,die
boots,Stiefel,die
socks,Socken,die
hat,Mütze,die
scarf,Schal,der
gloves,Handschuhe,die
glasses,Brille,die
bag,Tasche,die
ring,Ring,der
watch,Uhr,die
necklace,Halskette,die
earring,Ohrring,der
umbrella,Regenschirm,der
belt,Gürtel,der
pocket,Tasche,die
button,Knopf,der
zipper,Reißverschluss,der
underwear,Unterwäsche,die
pajamas,Schlafanzug,der
swimsuit,Badeanzug,der
sportswear,Sportkleidung,die
idea,Idee,die
thought,Gedanke,der
opinion,Meinung,die
feeling,Gefühl,das
dream,Traum,der
memory,Erinnerung,die
imagination,Vorstellung,die
decision,Entscheidung,die
choice,Wahl,die
plan,Plan,der
goal,Ziel,das
wish,Wunsch,der
hope,Hoffnung,die
fear,Angst,die
love,Liebe,die
hate,Hass,der
joy,Freude,die
sadness,Traurigkeit,die
anger,Wut,die
surprise,Überraschung,die
trust,Vertrauen,das
respect,Respekt,der
friendship,Freundschaft,die
freedom,Freiheit,die
peace,Frieden,der
war,Krieg,der
danger,Gefahr,die
luck,Glück,das
success,Erfolg,der
failure,Misserfolg,der
mistake,Fehler,der
problem,Problem,das
solution,Lösung,die
reason,Grund,der
cause,Ursache,die
effect,Wirkung,die
result,Ergebnis,das
experience,Erfahrung,die
advice,Rat,der
rule,Regel,die
law,Gesetz,das
right,Recht,das
responsibility,Verantwortung,die
truth,Wahrheit,die
lie,Lüge,die
importance,Wichtigkeit,die
value,Wert,der
difference,Unterschied,der
similarity,Ähnlichkeit,die
change,Änderung,die
progress,Fortschritt,der
culture,Kultur,die
tradition,Tradition,die
religion,Religion,die
politics,Politik,die
society,Gesellschaft,die
environment,Umwelt,die
science,Wissenschaft,die
technology,Technologie,die
education,Bildung,die
opportunity,Möglichkeit,die
risk,Risiko,das
loneliness,Einsamkeit,die
nostalgia,Nostalgie,die
enthusiasm,Begeisterung,die
passion,Leidenschaft,die
guilt,Schuld,die
pride,Stolz,der
gratitude,Dankbarkeit,die
relief,Erleichterung,die
boredom,Langeweile,die
anxiety,Besorgnis,die
empathy,Empathie,die
compassion,Mitgefühl,das
to be,sein,
to have,haben,
to do / make,machen,
to say,sagen,
to go,gehen,
to come,kommen,
to know (a fact),wissen,
to know (a person),kennen,
to think,denken,
to see,sehen,
to want,wollen,
to give,geben,
to take,nehmen,
to find,finden,
to tell,erzählen,
to ask,fragen,
to work,arbeiten,
to call,rufen / anrufen,
to try,versuchen,
to need,brauchen,
to feel,fühlen,
to become,werden,
to leave,verlassen,
to mean,bedeuten,
to keep,behalten,
to let,lassen,
to begin,beginnen / anfangen,
to show,zeigen,
to hear,hören,
to play,spielen,
to run,laufen,
to move,bewegen,
to live,leben,
to believe,glauben,
to hold,halten,
to bring,bringen,
to write,schreiben,
to stand,stehen,
to lose,verlieren,
to pay,zahlen / bezahlen,
to meet,treffen,
to learn,lernen,
to change,ändern,
to lead,führen,
to understand,verstehen,
to watch,zuschauen / ansehen,
to follow,folgen,
to stop,stoppen / aufhören,
to create,erstellen / schaffen,
to speak,sprechen,
to read,lesen,
to spend (time),verbringen,
to spend (money),ausgeben,
to grow,wachsen,
to open,öffnen / aufmachen,
to close,schließen / zumachen,
to walk,spazieren gehen,
to win,gewinnen,
to offer,anbieten,
to remember,sich erinnern,
to love,lieben,
to buy,kaufen,
to wait,warten,
to die,sterben,
to send,schicken,
to build,bauen,
to stay,bleiben,
to fall,fallen,
to cut,schneiden,
to reach,erreichen,
to sell,verkaufen,
to decide,entscheiden,
to return,zurückkehren,
to explain,erklären,
to hope,hoffen,
to develop,entwickeln,
to carry,tragen,
to break,brechen,
to receive,bekommen / erhalten,
to agree,zustimmen,
to support,unterstützen,
to eat,essen,
to drink,trinken,
to sleep,schlafen,
to sit,sitzen,
to help,helfen,
to travel,reisen,
to fly,fliegen,
to swim,schwimmen,
to cook,kochen,
to drive,fahren,
to turn,drehen,
to pull,ziehen,
to push,drücken,
to jump,springen,
to throw,werfen,
to catch,fangen,
to sing,singen,
to dance,tanzen,
to laugh,lachen,
to cry,weinen,
to smile,lächeln,
to kiss,küssen,
to hug,umarmen,
to fight,kämpfen,
to choose,wählen,
to use,benutzen / verwenden,
to clean,putzen / reinigen,
to fix,reparieren,
to start,starten / anfangen,
to finish,beenden / fertig sein,
to check,überprüfen,
to plan,planen,
to prepare,vorbereiten,
to measure,messen,
to count,zählen,
to share,teilen,
to visit,besuchen,
to invite,einladen,
to accept,akzeptieren / annehmen,
to refuse,ablehnen,
to forget,vergessen,
to forgive,vergeben / verzeihen,
to promise,versprechen,
to suggest,vorschlagen,
to recommend,empfehlen,
to thank,danken,
to greet,begrüßen,
to introduce,vorstellen,
to confirm,bestätigen,
to cancel,absagen / stornieren,
to reserve,reservieren,
to order,bestellen,
to borrow,leihen / borgen,
to lend,verleihen,
to rent,mieten,
to earn,verdienen,
to save,sparen,
to manage,verwalten / leiten,
to organize,organisieren,
to solve,lösen,
to protect,schützen,
to avoid,vermeiden,
to allow,erlauben,
to prevent,verhindern,
to improve,verbessern,
to increase,erhöhen / steigern,
to decrease,verringern,
to collect,sammeln,
to search,suchen,
to find out,herausfinden,
to notice,bemerken,
to imagine,sich vorstellen,
to worry,sich sorgen,
to enjoy,genießen,
to suffer,leiden,
to celebrate,feiern,
to relax,sich entspannen,
to study,studieren / lernen,
to teach,lehren / unterrichten,
to draw,zeichnen,
to paint,malen,
to photograph,fotografieren,
to record,aufnehmen,
to print,drucken,
to save (file),speichern,
to delete,löschen,
to install,installieren,
to download,herunterladen,
to upload,hochladen,
to connect,verbinden,
to translate,übersetzen,
to repeat,wiederholen,
to practice,üben,
to hire,einstellen,
to fire,entlassen,
to apply,sich bewerben,
to retire,in Rente gehen,
to participate,teilnehmen,
to compare,vergleichen,
to lie down,sich hinlegen,
to stand up,aufstehen,
to sit down,sich setzen,
to get up,aufstehen,
to wake up,aufwachen,
to fall asleep,einschlafen,
to get dressed,sich anziehen,
to get undressed,sich ausziehen,
to hurry,sich beeilen,
to calm down,sich beruhigen,
to fall in love,sich verlieben,
to get lost,sich verirren,
to get used to,sich gewöhnen an,
to complain,sich beschweren,
to apologize,sich entschuldigen,
to concentrate,sich konzentrieren,
I am,ich bin,
you are (sg.),du bist,
he / she / it is,er/sie/es ist,
we are,wir sind,
you are (pl.),ihr seid,
they are,sie sind,
I have,ich habe,
you have (sg.),du hast,
he / she / it has,er/sie/es hat,
we have,wir haben,
you have (pl.),ihr habt,
they have,sie haben,
I become,ich werde,
you become (sg.),du wirst,
he / she / it becomes,er/sie/es wird,
I can,ich kann,
you can (sg.),du kannst,
he / she / it can,er/sie/es kann,
we can,wir können,
they can,sie können,
I must,ich muss,
you must (sg.),du musst,
he / she / it must,er/sie/es muss,
we must,wir müssen,
they must,sie müssen,
I want,ich will,
you want (sg.),du willst,
he / she / it wants,er/sie/es will,
we want,wir wollen,
they want,sie wollen,
I should,ich soll,
you should (sg.),du sollst,
